level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	10	1	3	2	1056	1996	242	47	95.851639	included).
2	1	11	0	0	0	703	2084	1415	80	-1	
3	1	11	1	0	0	703	2084	1415	80	-1	
4	1	11	1	1	0	703	2084	1415	80	-1	
5	1	11	1	1	1	703	2116	44	48	87.657928	b)
5	1	11	1	1	2	849	2113	130	38	95.211990	Visit
5	1	11	1	1	3	1007	2110	48	37	95.211990	of
5	1	11	1	1	4	1085	2106	64	39	82.467178	all
5	1	11	1	1	5	1186	2105	46	36	95.454140	PM
5	1	11	1	1	6	1238	2102	170	43	95.810928	Europe
5	1	11	1	1	7	1438	2094	249	49	96.269043	production
5	1	11	1	1	8	1717	2093	171	36	96.670303	centers
5	1	11	1	1	9	1915	2086	98	40	86.475784	with
5	1	11	1	1	10	2040	2084	78	37	89.553177	the
2	1	12	0	0	0	856	2161	269	52	-1	
3	1	12	1	0	0	856	2161	269	52	-1	
4	1	12	1	1	0	856	2161	269	52	-1	
5	1	12	1	1	1	856	2174	174	39	96.566711	purpose
5	1	12	1	1	2	1060	2161	65	38	96.703369	of:
2	1	13	0	0	0	861	2245	1285	116	-1	
3	1	13	1	0	0	861	2245	1285	116	-1	
4	1	13	1	1	0	861	2245	1285	67	-1	
5	1	13	1	1	1	861	2289	19	8	93.089027	-
5	1	13	1	1	2	936	2268	197	44	96.524872	training
5	1	13	1	1	3	1165	2261	147	50	96.323418	people
5	1	13	1	1	4	1343	2260	44	37	95.665421	in
5	1	13	1	1	5	1419	2257	145	44	95.665421	charge
5	1	13	1	1	6	1594	2254	48	37	95.704323	of
5	1	13	1	1	7	1672	2252	69	37	96.511581	the
5	1	13	1	1	8	1771	2251	150	38	93.208023	insect
5	1	13	1	1	9	1951	2245	195	41	91.105560	indenti-
4	1	13	1	2	0	936	2322	200	39	-1	
5	1	13	1	2	1	936	2322	200	39	96.085037	fication
2	1	14	0	0	0	849	2411	1024	63	-1	
3	1	14	1	0	0	849	2411	1024	63	-1	
4	1	14	1	1	0	849	2411	1024	63	-1	
5	1	14	1	1	1	849	2445	34	29	56.743050	=
5	1	14	1	1	2	943	2424	247	45	88.377975	inspection
5	1	14	1	1	3	1220	2419	47	36	95.894783	of
5	1	14	1	1	4	1297	2417	70	36	96.650635	the
5	1	14	1	1	5	1396	2415	198	42	96.628441	sanitary
5	1	14	1	1	6	1625	2411	248	37	95.623360	conditions
2	1	15	0	0	0	714	2491	1444	201	-1	
3	1	15	1	0	0	714	2491	1444	201	-1	
4	1	15	1	1	0	714	2491	1443	86	-1	
5	1	15	1	1	1	714	2539	74	38	96.660522	One
5	1	15	1	1	2	817	2536	47	37	96.803391	of
5	1	15	1	1	3	893	2543	74	28	95.731163	our
5	1	15	1	1	4	994	2527	99	42	96.120926	main
5	1	15	1	1	5	1123	2527	195	48	96.052048	problems
5	1	15	1	1	6	1351	2525	42	36	96.052048	is
5	1	15	1	1	7	1425	2524	71	35	96.015259	the
5	1	15	1	1	8	1528	2522	147	36	96.234131	insect
5	1	15	1	1	9	1705	2514	351	41	96.234131	identification
5	1	15	1	1	10	2086	2491	71	55	96.968781	and
4	1	15	1	2	0	719	2562	1439	85	-1	
5	1	15	1	2	1	719	2595	48	52	95.843216	it
5	1	15	1	2	2	791	2589	125	40	96.976913	would
5	1	15	1	2	3	946	2588	47	35	96.325264	be
5	1	15	1	2	4	1021	2594	97	34	96.582504	very
5	1	15	1	2	5	1149	2578	166	47	95.894890	helpful
5	1	15	1	2	6	1353	2579	45	36	95.894890	if
5	1	15	1	2	7	1423	2587	74	35	96.751320	you
5	1	15	1	2	8	1528	2574	198	47	96.691383	provided
5	1	15	1	2	9	1754	2583	46	27	94.272621	us
5	1	15	1	2	10	1830	2569	97	39	94.272621	with
5	1	15	1	2	11	1957	2562	201	41	96.168961	detailed
4	1	15	1	3	0	719	2626	1207	66	-1	
5	1	15	1	3	1	719	2647	197	45	96.724144	pictures
5	1	15	1	3	2	947	2649	47	27	96.015877	or
5	1	15	1	3	3	1023	2636	196	42	96.407974	drawings
5	1	15	1	3	4	1252	2632	45	36	96.236290	of
5	1	15	1	3	5	1328	2631	71	35	96.236290	the
5	1	15	1	3	6	1426	2632	101	34	96.594269	most
5	1	15	1	3	7	1556	2637	147	27	96.872757	common
5	1	15	1	3	8	1733	2626	193	36	96.289978	insects.
2	1	16	0	0	0	723	2721	1340	175	-1	
3	1	16	1	0	0	723	2721	1340	175	-1	
4	1	16	1	1	0	724	2721	1338	68	-1	
5	1	16	1	1	1	724	2752	16	37	95.093079	I
5	1	16	1	1	2	774	2750	122	37	96.632210	leave
5	1	16	1	1	3	920	2727	54	53	96.721802	it
5	1	16	1	1	4	1003	2751	45	35	96.930130	up
5	1	16	1	1	5	1078	2742	45	33	95.803070	to
5	1	16	1	1	6	1150	2738	151	44	83.089050	you!
5	1	16	1	1	7	1264	2731	45	59	96.639244	to
5	1	16	1	1	8	1330	2735	198	44	95.074493	organize
5	1	16	1	1	9	1555	2742	102	35	96.642113	your
5	1	16	1	1	10	1686	2728	141	39	95.783836	travel
5	1	16	1	1	11	1863	2727	97	36	95.889183	from
5	1	16	1	1	12	1990	2721	72	37	96.335808	the
4	1	16	1	2	0	723	2779	1340	64	-1	
5	1	16	1	2	1	723	2805	146	38	96.537086	States
5	1	16	1	2	2	903	2800	44	34	96.463341	to
5	1	16	1	2	3	979	2795	146	42	96.463341	Europe
5	1	16	1	2	4	1157	2789	68	38	96.859627	and
5	1	16	1	2	5	1230	2786	269	38	96.052498	backwards.
5	1	16	1	2	6	1558	2787	48	34	96.092209	We
5	1	16	1	2	7	1633	2794	75	34	96.909119	may
5	1	16	1	2	8	1735	2779	201	48	95.552177	organize
5	1	16	1	2	9	1962	2782	101	38	96.126892	your
4	1	16	1	3	0	726	2849	419	47	-1	
5	1	16	1	3	1	726	2853	141	43	96.001953	travel
5	1	16	1	3	2	906	2852	44	36	95.537651	in
5	1	16	1	3	3	980	2849	165	42	96.271294	Europe.
2	1	17	0	0	0	2253	2569	76	441	-1	
3	1	17	1	0	0	2253	2569	76	441	-1	
4	1	17	1	1	0	2253	2569	76	441	-1	
5	1	17	1	1	1	2253	2569	76	441	0.000000	PZ9SEO000T
2	1	18	0	0	0	1634	50	818	660	-1	
3	1	18	1	0	0	1634	50	818	660	-1	
4	1	18	1	1	0	1634	50	818	660	-1	
5	1	18	1	1	1	1634	50	818	660	95.000000	 
2	1	19	0	0	0	2512	25	24	645	-1	
3	1	19	1	0	0	2512	25	24	645	-1	
4	1	19	1	1	0	2512	25	24	645	-1	
5	1	19	1	1	1	2512	25	24	645	95.000000
